Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
ants in garage,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ants in garage,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,46,704,6.53%,1.21,55.71,21.23%,95.58%,0.00,0,0,0.00%,79.13
ants in house,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ants in house,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,2,22,9.09%,1.17,2.33,27.27%,95.45%,0.00,0,0,0.00%,105.91
ants in kitchen,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ants in kitchen,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,94,"1,285",7.32%,1.25,117.08,27.12%,93.89%,0.00,0,0,0.00%,91.11
ants in oklahoma,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ants in oklahoma,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,4,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
arachnid repellant,Paused,campaign paused; ad group paused; paused; rarely served,Broad match,BPM - Residential,Spiders,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
arachnid repellant,Paused,campaign paused; paused; rarely served,Broad match,Priority Pest,Spiders,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ardent pest control okc,Not eligible,campaign paused; low quality,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,23,0.00%,0,0.00,50.00%,90.91%,0.00,0,0,0,0.00
ardent pest control okc,Not eligible,campaign paused; low quality,Broad match,Priority Pest,Res Pest Control,USD,0.01,0,14,0.00%,0,0.00,50.00%,92.86%,0.00,0,0,0,0.00
army ants,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
army ants,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,1,42,2.38%,1.44,1.44,35.71%,61.90%,0.00,0,0,0.00%,34.29
army worm infestation,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,85,848,10.02%,1.00,84.60,30.92%,46.68%,0.00,0,0,0.00%,99.76
army worms,Paused,campaign paused; paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
army worms,Paused,campaign paused; paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,380,"2,684",14.16%,1.10,417.48,35.60%,52.89%,1.50,0,278.33,0.39%,155.54
army worms oklahoma,Paused,campaign paused; paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
army worms oklahoma,Paused,campaign paused; paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,64,916,6.99%,1.11,70.79,16.59%,25.11%,1.00,0,70.79,1.56%,77.28
