Audience segment,Audience segment state,Campaign,Ad group,Currency code,Ad group default max. CPC,Audience segment max CPC,Audience Segment Bid adj.,Targeting Setting,Clicks,Impr.,CTR,Avg. CPC,Cost,Avg. CPM
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termites - Dyn,USD,0.01,0, --,Observation,0,27,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Wasp & Hornet,USD,0.01,0, --,Observation,19,452,4.20%,2.63,50.01,110.64
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Ant,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Flea & Tick,USD,0.01,0, --,Observation,7,44,15.91%,5.00,35.00,795.45
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,General Pest,USD,0.01,0, --,Observation,15,308,4.87%,11.42,171.27,556.07
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0, --,Observation,5,106,4.72%,11.86,59.29,559.34
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Mosquito,USD,0.01,0, --,Observation,2,30,6.67%,1.25,2.50,83.33
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Rodent,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Warm_Weather_03-10,Termite,USD,0.01,0, --,Observation,2,69,2.90%,15.29,30.57,443.04
Lifestyles & Hobbies › Pet Lovers,Enabled,BedBug_Leads_New,BB_New,USD,0.01,0, --,Observation,7,43,16.28%,8.45,59.15,1375.58
Lifestyles & Hobbies › Pet Lovers,Enabled,New_Rats&Mice_Leads,Ad group 1,USD,0.01,0, --,Observation,0,2,0.00%,0,0.00,0.00
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Ants,USD,0.01,0, +0%,Observation,0,3,0.00%,0,0.00,0.00
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Bed Bugs,USD,0.01,0, +0%,Observation,148,"2,973",4.98%,6.31,933.82,314.10
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Bedbugs - Dyn,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Cockroach - Dyn,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Cockroaches,USD,0.01,0, +0%,Observation,81,"1,670",4.85%,5.00,405.01,242.52
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Comm Pest Control,USD,0.01,0, +0%,Observation,0,4,0.00%,0,0.00,0.00
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Comm Pest Control - Dyn,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Flea and Tick,USD,0.01,0, +0%,Observation,0,7,0.00%,0,0.00,0.00
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Insects,USD,0.01,0, +0%,Observation,0,4,0.00%,0,0.00,0.00
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Mole and Gopher,USD,0.01,0, +0%,Observation,138,"1,900",7.26%,4.74,654.02,344.22
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Mole and Gopher - Dyn,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Mosquito Removal,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Priority Pest - dynamic ad group,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Rats & Mice,USD,0.01,0, +0%,Observation,110,"2,496",4.41%,5.41,594.94,238.36
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Rats and Mice - Dyn,USD,0.01,0, +0%,Observation,0,0,0,0,0.00,0
Lifestyles & Hobbies › Pet Lovers,Enabled,Priority Pest,Res Pest Control,USD,0.01,0, +0%,Observation,48,"1,452",3.31%,7.87,377.54,260.02
